grid_id,active_atelerix,invest_atelerix,active_martes,invest_martes,active_eliomys,invest_eliomys,active_oryctolagus,invest_oryctolagus,corridors
cell_11_21,0,0,0,0,0,0,1,1,"cell_11_22,cell_11_20,cell_12_21,cell_10_22,cell_12_22,cell_10_20,cell_12_20"
cell_11_22,0,0,1,1,0,0,0,0,"cell_11_21,cell_10_22,cell_12_22,cell_12_21"
cell_11_23,0,0,0,0,0,0,0,0,
cell_11_24,0,0,0,0,0,0,0,0,
cell_11_25,0,0,0,0,0,0,0,0,
cell_11_26,0,0,0,0,0,0,0,0,
cell_11_27,0,0,0,0,0,0,0,0,
cell_11_28,0,0,0,0,0,0,0,0,
cell_11_29,0,0,0,0,0,0,0,0,
cell_11_30,0,0,0,0,0,0,0,0,
cell_11_31,0,0,0,0,0,0,0,0,
cell_11_32,0,0,0,0,0,0,0,0,
cell_11_33,0,0,0,0,0,0,0,0,
cell_11_34,0,0,0,0,0,0,0,0,
cell_11_35,0,0,0,0,0,0,0,0,
cell_11_36,0,0,0,0,0,0,0,0,
cell_11_37,0,0,0,0,0,0,0,0,
cell_12_17,0,0,0,0,0,0,0,0,
cell_12_18,0,0,0,0,0,0,0,0,
cell_12_19,0,0,0,0,0,0,0,0,
cell_12_20,1,1,0,0,0,0,0,0,"cell_13_20,cell_11_21,cell_13_21"
cell_12_21,0,0,1,1,0,0,0,0,"cell_11_21,cell_13_21,cell_11_22,cell_13_22,cell_13_20"
cell_12_22,1,1,0,0,0,0,0,0,"cell_11_22,cell_13_22,cell_13_23,cell_11_21,cell_13_21"
cell_12_23,0,0,0,0,0,0,0,0,
cell_12_24,0,0,0,0,0,0,0,0,
cell_12_25,0,0,0,0,0,0,0,0,
cell_12_26,0,0,0,0,0,0,0,0,
cell_12_27,0,0,0,0,0,0,0,0,
cell_12_28,0,0,0,0,0,0,0,0,
cell_12_29,0,0,0,0,0,0,0,0,
cell_12_30,0,0,0,0,0,0,0,0,
cell_12_31,0,0,0,0,0,0,0,0,
cell_12_32,0,0,0,0,0,0,0,0,
cell_12_33,0,0,0,0,0,0,0,0,
cell_12_34,0,0,0,0,0,0,0,0,
cell_12_35,0,0,0,0,0,0,0,0,
cell_12_36,0,0,0,0,0,0,0,0,
cell_12_37,0,0,0,0,0,0,0,0,
cell_12_38,0,0,0,0,0,0,0,0,
cell_13_17,0,0,0,0,0,0,0,0,
cell_13_18,0,0,0,0,0,0,0,0,
cell_13_19,0,0,0,0,0,0,0,0,
cell_13_20,0,0,1,1,0,0,0,0,"cell_13_21,cell_12_20,cell_14_20,cell_12_21"
cell_13_21,0,0,1,1,0,0,0,0,"cell_13_22,cell_13_20,cell_12_21,cell_12_22,cell_14_22,cell_12_20,cell_14_20"
cell_13_22,0,0,0,0,1,1,0,0,"cell_13_23,cell_13_21,cell_12_22,cell_14_22,cell_12_21"
cell_13_23,0,0,1,1,0,0,0,0,"cell_13_22,cell_12_22,cell_14_22"
cell_13_24,0,0,0,0,0,0,0,0,
cell_13_25,0,0,0,0,0,0,0,0,
cell_13_26,0,0,0,0,0,0,0,0,
cell_13_27,0,0,0,0,0,0,0,0,
cell_13_28,0,0,0,0,0,0,0,0,
